policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00041,lats,1,165827443372213,165827516930868,165830145370134,73558655,2628439266,2701997921,905,113
plas,p00016,agent,3,165826598025767,165826668780696,165830167188880,70754929,3498408184,3569163113,951,150
plas,p00017,agent,6,165828462552592,165828534881888,165830205864704,72329296,1670982816,1743312112,1657,72
plas,p00019,agent,3,165828154699925,165828229266243,165830310728342,74566318,2081462099,2156028417,1392,90
plas,p00028,agent,3,165826952840735,165827029226137,165830405506058,76385402,3376279921,3452665323,1589,145
plas,p00048,lats,1,165829257613053,165829328962288,165830724137487,71349235,1395175199,1466524434,360,61
plas,p00021,agent,3,165825709857033,165825782187668,165830841358121,72330635,5059170453,5131501088,547,218
plas,p00006,agent,5,165826236717603,165826310414283,165830864009910,73696680,4553595627,4627292307,597,196
plas,p00009,agent,6,165824938963799,165825028650122,165830902765035,89686323,5874114913,5963801236,1162,252
plas,p00031,lats,3,165827047567345,165827119809958,165830956371049,72242613,3836561091,3908803704,980,164
plas,p00040,lats,2,165829538580622,165829610587601,165831223154761,72006979,1612567160,1684574139,907,70
plas,p00004,lats,8,165828726147133,165828788777231,165831281290556,62630098,2492513325,2555143423,479,107
plas,p00013,lats,5,165829090944584,165829163248642,165831281640209,72304058,2118391567,2190695625,856,91
plas,p00033,agent,2,165828324487786,165828397972448,165831368135799,73484662,2970163351,3043648013,1214,128
plas,p00023,lats,3,165826853178570,165826926810972,165831390959318,73632402,4464148346,4537780748,938,191
plas,p00018,agent,4,165827799755879,165827877593256,165831468567349,77837377,3590974093,3668811470,519,154
plas,p00036,lats,2,165827777203110,165827862827073,165831633098475,85623963,3770271402,3855895365,952,162
plas,p00038,lats,3,165828882417566,165828953732840,165831692027576,71315274,2738294736,2809610010,858,117
plas,p00032,lats,3,165827632471672,165827712424798,165831735183187,79953126,4022758389,4102711515,340,172
plas,p00041,lats,2,165830145527203,165830232984598,165831806885410,87457395,1573900812,1661358207,674,68
plas,p00049,chat,0,165829177621569,165829257931246,165831948118034,80309677,2690186788,2770496465,639,115
plas,p00017,agent,7,165830205978171,165830266619259,165832006616470,60641088,1739997211,1800638299,705,74
plas,p00043,agent,1,165827877143234,165827949932341,165832182039302,72789107,4232106961,4304896068,866,181
plas,p00008,agent,6,165827258909900,165827333418684,165832205224774,74508784,4871806090,4946314874,1594,208
plas,p00019,agent,4,165830310860030,165830385385014,165832247635815,74524984,1862250801,1936775785,560,79
plas,p00045,chat,2,165829676879174,165829748624338,165832358726808,71745164,2610102470,2681847634,366,111
plas,p00042,lats,1,165829350709479,165829422940846,165832380852990,72231367,2957912144,3030143511,542,126
plas,p00044,lats,1,165828668330051,165828740127317,165832745931605,71797266,4005804288,4077601554,891,171
plas,p00029,agent,3,165827069253130,165827150292166,165832784548089,81039036,5634255923,5715294959,1761,240
plas,p00005,lats,7,165829980957453,165830053445201,165832935067112,72487748,2881621911,2954109659,811,122
plas,p00010,lats,10,165828765929351,165828839793635,165833059168739,73864284,4219375104,4293239388,907,179
plas,p00040,lats,3,165831223290543,165831296327074,165833384053318,73036531,2087726244,2160762775,415,88
plas,p00035,lats,4,165828941369423,165829003339012,165833407400044,61969589,4404061032,4466030621,437,187
plas,p00046,lats,1,165830037939967,165830101263996,165833407744692,63324029,3306480696,3369804725,528,140
plas,p00038,lats,4,165831692155327,165831756943972,165833447783957,64788645,1690839985,1755628630,981,71
plas,p00047,lats,1,165829422561258,165829494689561,165833478026464,72128303,3983336903,4055465206,882,168
plas,p00036,lats,3,165831633235996,165831707145757,165833680103668,73909761,1972957911,2046867672,666,83
plas,p00000,agent,7,165828213518848,165828276604369,165833826457641,63085521,5549853272,5612938793,681,235
plas,p00018,agent,5,165831468698566,165831542178951,165833826925278,73480385,2284746327,2358226712,777,96
plas,p00013,lats,6,165831281701460,165831348292121,165833883066325,66590661,2534774204,2601364865,661,106
plas,p00023,lats,4,165831391074300,165831469169863,165833905527100,78095563,2436357237,2514452800,500,102
plas,p00048,lats,2,165830724274472,165830797181746,165833939133814,72907274,3141952068,3214859342,780,131
plas,p00032,lats,4,165831735314072,165831807371548,165834006488638,72057476,2199117090,2271174566,496,92
plas,p00049,chat,1,165831948250142,165832020776430,165834128128740,72526288,2107352310,2179878598,547,88
plas,p00019,agent,5,165832247768164,165832313421481,165834151880714,65653317,1838459233,1904112550,636,77
plas,p00006,agent,6,165830864121995,165830956995133,165834174313115,92873138,3217317982,3310191120,1936,135
plas,p00033,agent,3,165831368273568,165831452552647,165834174666304,84279079,2722113657,2806392736,1300,114
plas,p00009,agent,7,165830902881935,165830971788989,165834323114360,68907054,3351325371,3420232425,1893,140
plas,p00015,lats,8,165829814881291,165829888183529,165834404266186,73302238,4516082657,4589384895,810,189
plas,p00021,agent,4,165830841506213,165830933521219,165834426895581,92015006,3493374362,3585389368,1613,146
plas,p00008,agent,7,165832205360161,165832302828206,165834530315952,97468045,2227487746,2324955791,725,93
plas,p00017,agent,8,165832006730727,165832071893574,165834583572027,65162847,2511678453,2576841300,964,104
plas,p00031,lats,4,165830956507055,165831020952401,165834632696102,64445346,3611743701,3676189047,542,150
plas,p00050,lats,0,165832733608852,165832815539401,165834906037236,81930549,2090497835,2172428384,998,87
plas,p00035,lats,5,165833407523925,165833502985560,165834929386696,95461635,1426401136,1521862771,289,60
plas,p00041,lats,3,165831807016318,165831881653695,165835003393446,74637377,3121739751,3196377128,809,130
plas,p00043,agent,2,165832182166103,165832282295831,165835026192133,100129728,2743896302,2844026030,1742,115
plas,p00038,lats,5,165833447905317,165833523207885,165835128955357,75302568,1605747472,1681050040,626,67
plas,p00004,lats,9,165831281416994,165831348316024,165835151735888,66899030,3803419864,3870318894,1019,158
plas,p00028,agent,4,165830405642587,165830479466752,165835183459334,73824165,4703992582,4777816747,1213,196
plas,p00023,lats,5,165833905644962,165833983556599,165835257121884,77911637,1273565285,1351476922,509,53
plas,p00054,chat,0,165833696874543,165833781883799,165835353210400,85009256,1571326601,1656335857,609,65
plas,p00044,lats,2,165832746046776,165832841158961,165835409652839,95112185,2568493878,2663606063,779,106
plas,p00002,agent,7,165829873380712,165829937259437,165835479142521,63878725,5541883084,5605761809,718,231
plas,p00053,chat,0,165832991750242,165833060065173,165835567399825,68314931,2507334652,2575649583,335,103
plas,p00051,lats,0,165832820893815,165832880959652,165835654814882,60065837,2773855230,2833921067,596,114
plas,p00031,lats,5,165834632818561,165834702461126,165835879578017,69642565,1177116891,1246759456,657,49
plas,p00016,agent,4,165830167302031,165830261917358,165836120691135,94615327,5858773777,5953389104,1994,244
plas,p00013,lats,7,165833883192180,165833963889889,165836271333027,80697709,2307443138,2388140847,929,95
plas,p00052,agent,0,165832866599801,165832935700730,165836293325771,69100929,3357625041,3426725970,1675,138
plas,p00040,lats,4,165833384189817,165833478691520,165836420945200,94501703,2942253680,3036755383,693,121
plas,p00047,lats,2,165833478145391,165833544615946,165836421278687,66470555,2876662741,2943133296,470,118
plas,p00015,lats,9,165834404407610,165834483101111,165836541509638,78693501,2058408527,2137102028,823,85
plas,p00010,lats,11,165833059329070,165833135393924,165836601267963,76064854,3465874039,3541938893,696,142
plas,p00023,lats,6,165835257263283,165835330775874,165836646489626,73512591,1315713752,1389226343,461,54
plas,p00053,chat,1,165835567538517,165835631869114,165836696086200,64330597,1064217086,1128547683,552,44
plas,p00054,chat,1,165835353345358,165835427650866,165836769247883,74305508,1341597017,1415902525,238,55
