policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00009,lats,239,37256025976685,37256059190937,37256347101818,33214252,287910881,321125133,285,54
plas,p00009,lats,236,37256087991043,37256110823975,37256347206389,22832932,236382414,259215346,346,45
plas,p00009,lats,235,37256185753195,37256208067397,37256421427824,22314202,213360427,235674629,377,42
plas,p00009,lats,238,37256020233122,37256057120127,37256681734110,36887005,624613983,661500988,341,120
plas,p00009,lats,237,37256114574850,37256136452401,37256751075182,21877551,614622781,636500332,998,121
plas,p00009,lats,241,37256759663806,37256785642831,37256930598426,25979025,144955595,170934620,179,25
plas,p00009,lats,244,37256810763781,37256846118897,37257063216272,35355116,217097375,252452491,374,42
plas,p00009,lats,240,37256842938749,37256863749963,37257063327731,20811214,199577768,220388982,293,39
plas,p00009,lats,243,37256807403384,37256846107587,37257093392902,38704203,247285315,285989518,236,48
plas,p00009,lats,242,37256811977126,37256849647219,37257139742241,37670093,290095022,327765115,1102,57
plas,p00009,lats,248,37257150335531,37257191432674,37257392875106,41097143,201442432,242539575,506,37
plas,p00009,lats,246,37257154056540,37257206169498,37257527298037,52112958,321128539,373241497,365,62
plas,p00009,lats,249,37257312932161,37257336490452,37257784039575,23558291,447549123,471107414,235,88
plas,p00009,lats,247,37257183074707,37257210105740,37257886440347,27031033,676334607,703365640,384,131
plas,p00009,lats,245,37257179361203,37257210095547,37258106801485,30734344,896705938,927440282,1102,178
plas,p00009,lats,252,37258274961075,37258297826880,37258648843196,22865805,351016316,373882121,440,66
plas,p00009,lats,253,37258251628438,37258279935811,37258675948670,28307373,396012859,424320232,194,73
plas,p00009,lats,251,37258175535862,37258220422413,37258680373151,44886551,459950738,504837289,254,84
plas,p00009,lats,250,37258313794241,37258334451058,37258863382184,20656817,528931126,549587943,512,101
plas,p00009,lats,254,37258182271894,37258225686751,37258926899344,43414857,701212593,744627450,1636,131
plas,p00009,lats,255,37259000133530,37259030785096,37259302069405,30651566,271284309,301935875,403,54
plas,p00009,lats,256,37258978193386,37259015808117,37259400118716,37614731,384310599,421925330,185,74
plas,p00009,lats,258,37258994742304,37259028838066,37259481820818,34095762,452982752,487078514,595,89
