workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool,measured,1,answer,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3424715132,3424953955,238823,15166,15166,7,0,73341,14,cudaLaunchKernel,165482,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3424953955,3424963208,9253,0,0,0,0,0,0,,9253,
react_tool,measured,1,answer,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3424963208,3425118800,155592,12797,12797,1,1,42532,10,cudaMemsetAsync,113060,gemm|memset
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3425118800,3425127139,8339,0,0,0,0,0,0,,8339,
react_tool,measured,1,answer,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3425127139,3425261679,134540,12734,12734,1,1,35043,10,cuLaunchKernel,99497,gemm|memset
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3425261679,3425271009,9330,0,0,0,0,0,0,,9330,
react_tool,measured,1,answer,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3425271009,3425385483,114474,12702,12702,1,1,32289,10,cuLaunchKernel,82185,gemm|memset
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3425385483,3425393027,7544,0,0,0,0,0,0,,7544,
react_tool,measured,1,answer,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3425393027,3425468959,75932,0,0,0,0,14856,7,cudaEventRecord,61076,
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3425468959,3425475139,6180,0,0,0,0,0,0,,6180,
react_tool,measured,1,answer,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3425475139,3425606140,131001,9438,9438,1,0,30990,8,cudaLaunchKernel,100011,copy
react_tool,measured,1,answer,llm,pre_d2h_alloc,,,,gap_between_markers,3425606140,3425619421,13281,0,0,0,0,0,0,,13281,
react_tool,measured,1,answer,llm,d2h_stage,,,,host_event,3425619421,3425765736,146315,90351,90351,0,1,98177,6,cudaEventSynchronize,48138,memcpy
react_tool,measured,1,answer,llm,checksum_complete,,,,gap_between_markers,3425765736,3425836497,70761,0,0,0,0,2111,2,cudaEventDestroy,68650,
react_tool,measured,1,,dag,iteration_tail_sync,,,,gap_to_phase_end,3425836497,3425889700,53203,0,0,0,0,10514,3,cudaDeviceSynchronize,42689,
react_tool,measured,2,,dag,dag_schedule_gap,,,,gap_between_markers,3425920842,3425931005,10163,0,0,0,0,0,0,,10163,
react_tool,measured,2,plan,llm,adapter_dispatch,,,,gap_between_markers,3425931005,3427134074,1203069,0,0,0,0,0,0,,1203069,
react_tool,measured,2,plan,llm,token_preprocess_cpu,,,,host_event,3427134074,3427469716,335642,0,0,0,0,0,0,,335642,
react_tool,measured,2,plan,llm,host_input_generate,,,,gap_between_markers,3427469716,3432584209,5114493,0,0,0,0,9167,2,cudaEventQuery,5105326,
react_tool,measured,2,plan,llm,h2d_stage,,,,host_event,3432584209,3432767655,183446,82000,82000,0,1,99009,6,cudaEventSynchronize,84437,memcpy
react_tool,measured,2,plan,llm,weight_init,,,,gap_between_markers,3432767655,3432921285,153630,4991,4991,2,0,36366,7,cudaLaunchKernel,117264,elementwise_binary|rng_init
react_tool,measured,2,plan,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3432921285,3433210298,289013,15966,15966,7,0,77363,14,cudaLaunchKernel,211650,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,2,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3433210298,3433221975,11677,0,0,0,0,0,0,,11677,
react_tool,measured,2,plan,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3433221975,3433329233,107258,1472,1472,1,0,28714,8,cudaLaunchKernel,78544,elementwise_binary
react_tool,measured,2,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3433329233,3433336565,7332,0,0,0,0,0,0,,7332,
react_tool,measured,2,plan,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3433336565,3433586019,249454,15260,15260,7,0,73755,14,cudaLaunchKernel,175699,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,2,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3433586019,3433595238,9219,0,0,0,0,0,0,,9219,
react_tool,measured,2,plan,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3433595238,3433752730,157492,12958,12958,1,1,42715,10,cudaMemsetAsync,114777,gemm|memset
react_tool,measured,2,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3433752730,3433761654,8924,0,0,0,0,0,0,,8924,
react_tool,measured,2,plan,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3433761654,3433881125,119471,12701,12701,1,1,34305,10,cudaEventRecord,85166,gemm|memset
react_tool,measured,2,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3433881125,3433888398,7273,0,0,0,0,0,0,,7273,
