workload,phase,iteration,call_id,op_index,op_type,engine,attribution_basis,nvtx_cpu_ns,nvtx_start,gpu_work_ns,kernel_ns,memcpy_memset_ns,kernel_count,memcpy_memset_count,launch_to_gpu_start_ns,gpu_span_ns,kernel_families,kernel_names
planner_debate_L,measured,2,critic-b,7,AddOp,ve,nvtx_operator_range,764409,9127550364,638892,638892,0,32,0,15966,658730,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
planner_debate_L,measured,2,critic-b,8,RMSNormOp,ve,nvtx_operator_range,16258630,9128322060,16032099,16032099,0,224,0,7792,16176928,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,critic-b,10,LinearOp,me,nvtx_operator_range,26340531,9144594605,26150897,26112562,38335,32,32,16455,26217101,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-b,11,LinearOp,me,nvtx_operator_range,26835549,9170950637,26704477,26665181,39296,32,32,6070,26765242,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-b,12,LinearOp,me,nvtx_operator_range,27137451,9197797608,26975762,26936082,39680,32,32,6764,27037842,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-b,13,ViewOp,de,nvtx_operator_range,190116,9224955512,0,0,0,0,0,,,,
planner_debate_L,measured,2,critic-b,14,TransposeOp,de,nvtx_operator_range,7306211,9225151184,7167567,7167567,0,32,0,14379,7188750,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
planner_debate_L,measured,2,critic-merge,6,RMSNormOp,ve,nvtx_operator_range,16119058,9355885718,15840489,15840489,0,224,0,9912,15985094,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,critic-merge,7,AddOp,ve,nvtx_operator_range,737088,9372018971,642793,642793,0,32,0,8920,662601,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
planner_debate_L,measured,2,critic-merge,8,RMSNormOp,ve,nvtx_operator_range,16369844,9372765750,16151359,16151359,0,224,0,7924,16296923,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,critic-merge,10,LinearOp,me,nvtx_operator_range,26053582,9389147807,25788763,25749692,39071,32,32,18374,25865082,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-merge,11,LinearOp,me,nvtx_operator_range,26204068,9415232887,25874394,25832859,41535,32,32,137974,25927159,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-merge,12,LinearOp,me,nvtx_operator_range,27176953,9441456721,27014290,26974066,40224,32,32,7210,27077488,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-merge,13,ViewOp,de,nvtx_operator_range,193530,9468664287,0,0,0,0,0,,,,
planner_debate_L,measured,2,critic-merge,14,TransposeOp,de,nvtx_operator_range,7922479,9468865416,7766810,7766810,0,32,0,20300,7788250,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
planner_debate_L,measured,2,planner-final,6,RMSNormOp,ve,nvtx_operator_range,9289734,9569939473,9016269,9016269,0,224,0,10790,9158539,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,planner-final,7,AddOp,ve,nvtx_operator_range,531253,9579242697,431474,431474,0,32,0,8498,454961,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
planner_debate_L,measured,2,planner-final,8,RMSNormOp,ve,nvtx_operator_range,9731872,9579780791,9524414,9524414,0,224,0,7053,9666682,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,planner-final,10,LinearOp,me,nvtx_operator_range,20115205,9589522089,19916387,19916387,0,32,0,11375,19936385,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
planner_debate_L,measured,2,planner-final,11,LinearOp,me,nvtx_operator_range,20118526,9609656017,19937665,19937665,0,32,0,14766,19957728,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
planner_debate_L,measured,2,planner-final,12,LinearOp,me,nvtx_operator_range,20208387,9629794738,20071836,20071836,0,32,0,10736,20091931,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
planner_debate_L,measured,2,planner-final,13,ViewOp,de,nvtx_operator_range,152516,9650028942,0,0,0,0,0,,,,
planner_debate_L,measured,2,planner-final,14,TransposeOp,de,nvtx_operator_range,6280931,9650188853,6149074,6149074,0,32,0,12030,6170257,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
planner_debate_L,measured,3,planner-seed,,call_overhead,,gap_before_operator,,,1105883,39199,1066684,2,1,24269,1301332,elementwise_binary|memcpy|rng_init,"memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,3,critic-a,,call_overhead,,gap_before_operator,,,2539402,52510,2486892,2,2,19534,118456833,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,3,critic-b,,call_overhead,,gap_before_operator,,,2964061,53950,2910111,2,2,24391,122170788,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,3,critic-merge,,call_overhead,,gap_before_operator,,,2915454,53022,2862432,2,2,21083,120733588,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,3,planner-final,,call_overhead,,gap_before_operator,,,3738081,39774,3698307,2,3,30053,182374436,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
