lineage,workload,iteration,launch_order,call_id,process,op_index,kind,family,gpu_ns,launch_latency_ns,gpu_start_rel_us
base,planner_debate,12,86,critic-merge,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3935,8546,856892.6
base,planner_debate,12,87,critic-merge,mir_operator:RMSNormOp,8,kernel,copy,2240,7414,856916.5
base,planner_debate,12,88,critic-merge,mir_operator:LinearOp,10,kernel,gemm,19773,12737,857092.1
base,planner_debate,12,89,critic-merge,mir_operator:LinearOp,11,kernel,gemm,19644,10636,857223.4
base,planner_debate,12,90,critic-merge,mir_operator:LinearOp,12,kernel,gemm,19805,9905,857357.6
base,planner_debate,12,91,critic-merge,mir_operator:TransposeOp,14,kernel,copy,12733,11994,857574.3
base,planner_debate,12,92,critic-merge,d2h_stage,,memcpy,memcpy,162019,15212,857708.2
base,planner_debate,12,93,planner-final,h2d_stage,,memcpy,memcpy,117643,32576,866856.8
base,planner_debate,12,94,planner-final,weight_init,,kernel,rng_init,4991,28676,867114.5
base,planner_debate,12,95,planner-final,weight_init,,kernel,elementwise_binary,1791,9113,867170.0
base,planner_debate,12,96,planner-final,mir_operator:RMSNormOp,6,kernel,copy,3999,28574,867308.2
base,planner_debate,12,97,planner-final,mir_operator:RMSNormOp,6,kernel,elementwise_unary,2591,9539,867342.8
base,planner_debate,12,98,planner-final,mir_operator:RMSNormOp,6,kernel,reduce,3295,10237,867375.9
base,planner_debate,12,99,planner-final,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1184,9142,867406.8
base,planner_debate,12,100,planner-final,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1248,8229,867431.3
base,planner_debate,12,101,planner-final,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3391,9118,867459.8
base,planner_debate,12,102,planner-final,mir_operator:RMSNormOp,6,kernel,copy,2016,8413,867487.7
base,planner_debate,12,103,planner-final,mir_operator:AddOp,7,kernel,elementwise_binary,1695,10277,867636.6
base,planner_debate,12,104,planner-final,mir_operator:RMSNormOp,8,kernel,copy,4032,11554,867766.7
base,planner_debate,12,105,planner-final,mir_operator:RMSNormOp,8,kernel,elementwise_unary,2559,8013,867793.4
base,planner_debate,12,106,planner-final,mir_operator:RMSNormOp,8,kernel,reduce,3199,9038,867819.4
